rank|region|road_km|area_sqkm|density
1|Greater Accra|21237.2205|3699.3252311|5.740836
2|Central|11169.4347|9663.532551850001|1.155834
3|Ashanti|22839.8736|24379.39314994|0.936852
4|Upper East|7284.8558|8622.26722171|0.844889
5|Volta|8095.5113|9825.08623813|0.823963
6|Eastern|14205.2336|18965.83112325|0.748991
7|Ahafo|3819.3951|5194.97120541|0.73521
8|Bono|8223.7117|11646.88934322|0.706087
9|Western|9558.2477|14258.33074321|0.670362
10|Northern|14735.5656|24849.32922675|0.592997
11|Oti|5076.0544|11065.964910259998|0.458709
12|Western North|4580.6002|10074.82017189|0.454658
13|Upper West|7791.6756|19033.46612174|0.409367
14|Northern East|3208.7135|9074.63712712|0.353591
15|Bono East|7579.365|23256.38434536|0.325905
16|Savannah|9849.1103|35863.00642814|0.274631
